TEST,Sentences,Sentiment
,Comme ces brioches sentent bon !,1
,Elle ne leur a pas révélé son secret.,1
,"Et si Françoise s’amusait de l’air épouvanté de ma tante quand de son lit elle avait aperçu dans la rue du Saint-Esprit une de ces personnes qui avait l’air de venir chez elle ou quand elle avait entendu un coup de sonnette, elle riait encore bien plus, et comme d’un bon tour, des ruses toujours victorieuses de ma tante pour arriver à les faire congédier et de leur mine déconfite en s’en retournant sans l’avoir vue, et, au fond admirait sa maîtresse qu’elle jugeait supérieure à tous ces gens puisqu’elle ne voulait pas les recevoir.",5
,"Et se précipitant sur un livre de messe relié en velours violet, monté d’or, et d’où, dans sa hâte, elle laissait s’échapper de ces images, bordées d’un bandeau de dentelle de papier jaunissante, qui marquent les pages des fêtes, ma tante, tout en avalant ses gouttes commençait à lire au plus vite les textes sacrés dont l’intelligence lui était légèrement obscurcie par l’incertitude de savoir si, prise aussi longtemps après l’eau de Vichy, la pepsine serait encore capable de la rattraper et de la faire descendre.",5
,"Les impôts sur le revenu et la fortune des personnes physiques, sur le bénéfice et le capital des personnes morales ainsi que sur les bénéfices immobiliers sont des impôts directs que les cantons doivent prélever selon la LHID.",4
,La compétence fiscale des communes est réduite car elle dépend du droit cantonal.,3
,En Suisse les personnes physiques peuvent être assujetties à l’impôt sur le revenu et la fortune en raison de leurs liens personnels ou leur rattachement économique avec la Suisse.,3
,L’assujettissement illimité touche les personnes domiciliées ou séjournant en Suisse et concerne le revenu mondial.,3
,"Quoiqu’elle ne se soit pas assez entraînée, Amélie veut participer au marathon.",1
,"De ce poste élevé elle participait avec entrain à la conversation des fidèles et s’égayait de leurs « fumisteries », mais depuis l’accident qui était arrivé à sa mâchoire, elle avait renoncé à prendre la peine de pouffer effectivement et se livrait à la place à une mimique conventionnelle qui signifiait sans fatigue ni risques pour elle, qu’elle riait aux larmes.",5
,Le revenu des enfants sous autorité parentale est ajouté à celui du détenteur de l’autorité parentale.,3
,"Seuls les membres de la société de personnes ont la qualité de contribuables, ainsi le revenu et la fortune nets de la société sont attribués proportionnellement aux personnes physiques formant la société.",4
,"La communauté d’héritier a la qualité de contribuable, ainsi le revenu et la fortune nets de la société sont attribués aux personnes physiques formant la communauté d’héritiers, sauf pour le canton du Tessin où c’est l’hoirie qui est imposée !",5
,Le transfert de domicile d’un canton à un autre entraîne la fin de l’assujettissement dans le canton de départ et en début d’assujettissement dans d’arrivée.,4
,L’activité dépendante présuppose un rapport de subordination de l’employé qui se soumet aux instructions de l’employeur.,5
,Sont visés les plans de participation du personnel mis en place par une société en faveur de ses employés sous forme d’octroi d’actions ou d’options.,5
,"Les actions de collaborateurs sont des actions que l’employeur ou l’entreprise attribue à ses employés, à un prix de faveur à l’occasion d’une émission ou par aliénation de titres en provenance de son portefeuille.",5
,Notre étude se concentre sur l’impact d’une couverture maladie universelle sur le taux de mortalité dans les pays développés.,3
,"Pour remédier à une suspicion d’endogénéité, plusieurs variables instrumentales potentielles sont proposées.",4
,Les circonstances actuelles nous ont amené à réfléchir à l’importance et les impacts que peut avoir la qualité des systèmes de santé.,3
,"Notre papier comporte en premier lieu une description détaillée des données étudiées, ainsi que diverses analyses concernant ces dernières.",3
,"Dans l’idée de parfaire notre recherche, nous avons fait le choix d’ajouter des variables de contrôle relatives à la santé, à commencer par la consommation d’alcool qui est une variable représentant la consommation d’alcool en litres/personne/an pour la population âgée de plus de 15 ans.",4
,"Nous avons décidé de travailler sur trois variables instrumentales, la première retenue étant l’individualisme.",3
,"L’idée est la suivante : lorsqu’un laboratoire dépose un brevet pour un médicament ou une molécule, et que le brevet est approuvé, le laboratoire acquiert un pouvoir de monopole et peut ainsi jouer sur le prix de ses produits.",4
,"Telle, étourdie par la gaieté des fidèles, ivre de camaraderie, de médisance et d’assentiment, Mme Verdurin, juchée sur son perchoir, pareille à un oiseau dont on eût trempé le colifichet dans du vin chaud, sanglotait d’amabilité.",5
,"Dans le premier article, j'ai décrit les faits stylisés des rendements des actifs.",3
,"Le backtesting évalue essentiellement la performance d'une stratégie de trading sur des données historiques, si nous avons utilisé une stratégie donnée sur un ensemble d'actifs dans le passé, dans quelle mesure elle aurait été performante.",4
,Il existe quelques frameworks disponibles.,2
,"Il existe une structure claire sur la façon de construire un backtest et le résultat auquel nous pouvons nous attendre, de sorte que la majorité du temps peut être consacrée au développement de stratégies de trading à la pointe de la technologie.",4
,J'aime courir sous la pluie.,0
,"J’ai téléphoné à l’agent et je lui ai demandé si les documents avaient été signés, car nous voulions commencer à lancer des opérations de promotion avec lui.",3
,"C’était ce que je chantais le matin sous la douche, c’était l’objet de mes prières, ma priorité numéro un.",2
,Ce n’était pas tant une décision stratégique qu’une nécessité.,2
,Les prêts que l'on nous accordait pouvaient être quasiment considérés comme des fonds propres.,3
,"Nous avions une ligne de crédit d’un million de dollars à la banque mais nous avions aussi un crédit d’un million auprès de Nissho, qui avait accepté que sa créance ait une séniorité plus faible, ce qui rassurait la banque.",3
,Je refusais l’idée même de passer des commandes plus petites.,2
,J'ai 20 ans.,0
,Pourquoi passer une commande de deux millions au lieu de trois si vous pensez viscéralement qu’il existe une demande à cinq millions ?,4
,Je commandais un nombre de chaussures qui leur paraissait absurdement élevé.,2
,Nous aurions de toute évidence du mal à les rendre.,2
,"Pour la plupart des observateurs, cela devait paraître une façon extrêmement imprudente et dangereuse de gérer une entreprise.",3
,Je me souviens d’une anecdote en particulier.,1
,"La façon dont il était habillé au golf, tout comme la façon dont il était habillé au bureau, était méticuleuse.",2
,Tout le contraire de moi.,1
,Je n'aime pas dessiner.,0
,Je me devais de toujours le satisfaire.,3
,Nous savions pertinemment qu’être aussi justes financièrement n’était pas normal.,3
,Je comprends la situation.,0
,Il nous disait qu’il pourrait continuer à travailler avec nous tant que nous serions francs et transparents avec lui.,3
,Nous avions besoin d’aide.,1
,Les choses sont en train de mal tourner.,1
,Je lui ai demandé ce que nous devions faire.,1
,Il a demandé la raison de cette décision.,1
,Sa voix était étonnamment douce.,2
,Il nous arrive de procéder de cette façon de temps en temps.,1
,"Et le fait est que, nous n’avons pas réussi à couvrir nos charges avec nos rentrées d’argent.",3
,Une étude montre que ce vaccin offre un taux de protection élevé qui permet d'éviter l'hospitalisation.,3
,Le vaccin AstraZeneca est-il en voie de réhabilitation accélérée ?,3
,"Le sérum, qui a pâti de la comparaison avec ses concurrents Pfizer et Moderna, est désormais considéré comme aussi efficace pour prévenir le risque d'hospitalisation.",4
,Pourquoi le gouvernement a-t-il décidé une extension du public visé ?,3
,La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,3
,"Il existe un moyen simple d'arrêter cette réaction, c'est de prendre du paracétamol juste avant la vaccination et si besoin, toutes les six heures.",3
,"Le week-end dernier, un début de polémique a émergé quant à la sous-utilisation du vaccin AstraZeneca.",3
,"La « marquise » reprit un ton plus doux, car elle avait constaté que le protecteur des massifs et des pelouses l’écoutait avec bonhomie sans songer à la contredire, gardant inoffensive au fourreau une épée qui avait plutôt l’air de quelque instrument de jardinage ou de quelque attribut horticole.",5
,Le ciel est également scruté mais pour des raisons ici scientifiques.,2
,Ainsi une centaine de caméras automatiques installées sur le sol français surveillent en permanence la rentrée de météorites dans l’atmosphère.,4
,L’objectif est désormais pour les scientifiques de retrouver cette météorite sur le terrain !,2
,"L’association ""À Ciel Ouvert"", membre de ce réseau et spécialisée dans la médiation scientifique autour de l’astronomie et des météorites, est le relais le plus proche du point d’impact.",4
,Carlos Ghosn sera-t-il le dernier protagoniste de sa folle escapade à demeurer hors d'atteinte de la justice ?,3
,"Plus tôt, ils avaient été remis à un procureur, escortés de 15 officiers de police japonais venus spécialement aux États-Unis samedi pour l'occasion.",4
,"Il y a quelques jours, un tribunal turc a condamné deux pilotes et le cadre d'une compagnie aérienne à plus de quatre ans de prison, pour avoir participé à l'opération, et omis le nom de Carlos Ghosn sur les documents d'entrée et de sortie du territoire turc.",4
,"Pour l’aider à améliorer sa politique de modération ainsi que la protection de ses utilisateurs, TikTok Europe a décidé de se tourner vers des experts.",4
,"Le réseau social annonce ce mardi la constitution d’un «comité consultatif européen de sécurité», composé de neuf membres de la société civile.",3
,Le chocolat suisse n'a pas échappé au choc de la pandémie : la consommation d'un des produits phares de ce pays alpin a fondu l'an passé à son plus bas niveau depuis près de 40 ans.,4
,"Les Helvètes, premiers consommateurs de chocolat au monde, ont eu semble-t-il l'appétit coupé par le virus en 2020.",3
,"Avec la distanciation sociale, les occasions de se réunir ont également été moins fréquentes.",3
,L’objectif est de contribuer à une croissance plus durable en Afrique en minimisant l’impact sur l’environnement.,4
,Le fait est méconnu mais l’Afrique a aussi un marché carbone qui valorise les efforts environnementaux des entreprises.,4
,Le bulletin de notes du gouvernement a piètre allure.,3
,"C'est pourquoi nous demandons aujourd'hui que le président de la République tienne sa parole et soumette, 'sans filtre', les propositions de la Convention au référendum, au parlement ou à application réglementaire directe.",4
,Je n'ai pas de leçons à recevoir.,1
,On se retrouve aujourd'hui exactement dans la situation qu'on redoutait : le gouvernement transforme les mesures pour satisfaire certains intérêts économiques.,4
,"Personne n'en a autant fait, depuis dix ans.",2
,Députés et membres de la Convention ont ainsi été conviés par le gouvernement à cinq réunions pour «présenter les orientations retenues».,4
,Soixante associations de défense de l'environnement et de solidarité sociale ont mis en garde contre une possible exclusion de l'obligation de rénovation énergétique des logements dans la future loi sur le climat.,5
,"Le gouvernement veut lutter contre la fraude dans la rénovation énergétique, notamment en renforçant les contrôles et en s'attaquant aux «démarchages téléphoniques abusifs».",5
,Une campagne de communication grand public va également être menée.,3
,Les entreprises se bousculent pour être cotées sur la plus ancienne place boursière au monde.,3
,Eviter d’importer de l’inflation et surtout contrôler le niveau de change du franc suisse par rapport aux grandes devises internationales et notamment face à l’euro et au dollar.,4
,"En 2020, le classique compte courant s'est imposé comme le produit d'épargne préféré des Français.",4
,Avoir un chien est un vrai bonheur mais encore faut-il s'en occuper correctement.,2
,Le chien est le meilleur ami de l'homme !,1
,Il est considéré comme un membre de la famille à part entière.,1
,"Souvent, lorsque l'on a un animal à la maison, on souhaite qu'il ne manque de rien et encore moins de nourriture.",2
,On a donc tendance à le gaver de croquettes et de pâté.,3
,L'hygiène dentaire des chiens est très importante et souvent négligée par les propriétaires.,2
,Les chiens ont besoin d'une activité physique quotidienne.,2
,"Si vous en avez la possibilité, ne laissez pas votre chien longtemps dans la voiture sans surveillance.",2
,Il est impératif de tenir votre chien en laisse lorsque vous le promenez.,2
,Le chien a besoin de rencontrer d'autres animaux.,2
,Cela fait partie de sa vie sociale.,1
,Certains chiens peuvent vite prendre peur ou se montrer agressifs.,2
,Le corgi a l'allure d'un petit renard.,1
,Le corgi est aussi connu pour son caractère amical et sociable.,1
,"Très robuste, il était particulièrement apprécié pour la chasse au caribou et les déplacements en traîneau.",3
,Il fait beau dehors.,0
,Il est assez calme.,0
,Il est impératif de réussir à vous imposer dès le début !,3
,"Aux premiers abords, cette race peut se méfier des étrangers, mais est facilement docile avec son maître.",3
,"S’il était à l’origine destiné à surveiller le bétail, il est doux avec les enfants.",2
,Le ministre de l'Education nationale a assuré que ces étudiants seront rémunérés pour la réalisation de ces tests.,3
,La justice russe a transformé en prison ferme une peine avec sursis à laquelle il avait été condamné en 2014.,4
,Ces nouvelles tensions interviennent après une journée de répression meurtrière dimanche avec au moins 18 manifestants tué.,3
,"Par crainte des représailles, les contestataires ont été moins nombreux mardi dans les rues.",3
,"Face à eux, les forces de sécurité ont été déployées en nombre.",3
,Les vagues d'arrestation se poursuivent.,2
,Les journalistes ont de plus en plus de mal à exercer leur métier.,2
,Twitter va bannir les utilisateurs en cas de désinformation répétée sur les vaccins.,3
,"Le réseau social américain veut «réduire la propagation d'informations potentiellement dangereuses ou trompeuses», et va mettre en place un système d'avertissement pour ses utilisateurs.",3
,"Ce système s'inspire de celui contre la désinformation liée aux élections et processus civiques, qui a notamment conduit Twitter à bannir l'ancien président américain Donald Trump.",4
,"Dès octobre, alors que les vaccins n'en étaient qu'au stade des tests cliniques, YouTube et Facebook avaient annoncé un règlement strict visant à interdire la désinformation sur les vaccins et les efforts pour nuire aux campagnes de vaccination.",3
,"Des modérateurs seront chargés de déterminer quels contenus enfreignent les règlements, mais la plateforme espère mettre au point un système à la fois humain et automatisé pour détecter les messages problématiques.",3
,Le réseau social a recruté un nombre important de nouveaux utilisateurs en janvier.,2
,C’est une question que se posent avec insistance les autorités politiques et sanitaires ces dernières semaines.,3
,Quelle est l’efficacité réelle de la lutte contre la désinformation menée à grand renfort de communication par les réseaux sociaux ?,3
,"Après mûre réflexion, la Commission européenne a eu une idée brillante: s'attaquer à un nouveau chantier, qui avait jusque-là bizarrement échappé à sa sagacité légendaire.",4
,"Elle va lutter contre les «fake news», ces «fausses nouvelles» qui troubleraient le jugement des honnêtes citoyens au point de les pousser dans les bras des affreux populistes, tels que le méchant Donald Trump ou les infâmes «Brexiters» d'outre-Manche.",4
,lle vient de lancer une consultation publique sur le sujet.,3
,Voilà qui serait en effet de nature à simplifier sensiblement débats et controverses.,3
,"Bien sûr, on arguera que l'on caricature ici la position de la Commission, dont l'objectif ne serait évidemment pas d'attenter à la liberté d'expression .",4
,Bruxelles est en droit de défendre les politiques qu'elle conduit.,2
,On serait davantage enclin à adhérer à cette thèse.,3
,Les normes européennes sont absurdes et nous étouffent.,3
,N'avait-elle pas promis que les politiques économiques menées en Europe apporteraient la prospérité et le plein-emploi ?,4
